# SNR	upix	vpix	boxc_width	time	dm	iblk
4.0	128	128	0		0	0	0
3.7	126	128	0		0	0	0
3.9	129	129	0		0	0	0
3.8	127	129	0		0	0	0
3.8	130	130	0		0	0	0
3.2	126	130	0		0	0	0
3.6	129	131	0		0	0	0
3.1	127	131	0		0	0	0
3.4	132	132	1		1	0	0
3.3	133	133	1		1	0	0
3.1	132	134	1		1	0	0
3.3	126	124	0		0	0	0
3.1	129	125	0		0	0	0
3.6	127	125	0		0	0	0
3.7	128	126	0		0	0	0
3.8	126	126	0		0	0	0
3.8	129	127	0		0	0	0
3.9	127	127	0		0	0	0
11.2	128	128	0		0	1	0
9.3	126	128	0		0	1	0
10.3	129	129	0		0	1	0
3.7	254	129	1		1	1	0
10.2	127	129	0		0	1	0
9.3	128	130	0		0	1	0
4.4	255	130	1		1	1	0
7.7	126	130	0		0	1	0
7.2	129	131	0		0	1	0
4.5	254	131	1		1	1	0
4.1	0	131	1		1	1	0
7.0	127	131	0		0	1	0
5.4	128	132	0		0	1	0
4.2	255	132	1		1	1	0
3.0	1	132	1		1	1	0
4.8	126	132	0		0	1	0
3.8	129	133	0		0	1	0
3.3	254	133	1		1	1	0
3.8	127	133	0		0	1	0
3.8	136	134	1		1	1	0
3.3	126	134	1		1	1	0
4.4	137	135	0		1	1	0
3.2	127	135	1		1	1	0
5.0	138	136	0		1	1	0
3.4	34	136	1		1	1	0
5.6	137	137	0		1	1	0
3.4	181	137	1		1	1	0
3.5	35	137	0		1	1	0
5.0	136	138	0		1	1	0
3.5	182	138	1		1	1	0
3.8	36	138	0		1	1	0
4.2	137	139	0		1	1	0
3.4	181	139	1		1	1	0
3.1	27	139	1		1	1	0
4.0	37	139	0		1	1	0
3.3	190	140	0		1	1	0
3.0	28	140	1		1	1	0
4.0	38	140	0		1	1	0
3.4	191	141	0		1	1	0
3.2	193	141	0		1	1	0
4.0	37	141	0		1	1	0
3.7	192	142	0		1	1	0
3.7	38	142	0		1	1	0
3.2	114	142	0		0	1	0
3.3	191	143	0		1	1	0
3.8	193	143	0		1	1	0
3.1	37	143	0		1	1	0
3.6	192	144	0		1	1	0
3.1	148	145	1		1	1	0
3.2	191	145	0		1	1	0
3.4	193	145	0		1	1	0
3.4	44	145	0		0	1	0
3.5	147	146	1		1	1	0
3.0	190	146	0		1	1	0
3.2	192	146	0		1	1	0
3.1	46	146	0		1	1	0
3.0	48	146	0		1	1	0
3.2	81	146	1		1	1	0
3.5	146	147	1		1	1	0
3.1	191	147	0		1	1	0
3.0	15	147	0		1	1	0
3.1	17	147	0		1	1	0
3.3	47	147	0		1	1	0
3.2	49	147	0		1	1	0
3.3	147	148	1		1	1	0
3.0	191	148	0		0	1	0
3.6	18	148	0		1	1	0
3.1	48	148	0		1	1	0
3.2	173	149	1		1	1	0
3.0	15	149	0		1	1	0
3.8	17	149	0		1	1	0
3.6	174	150	0		0	1	0
3.7	18	150	0		1	1	0
3.3	175	151	1		1	1	0
3.1	19	151	0		1	1	0
3.0	174	152	1		1	1	0
3.1	100	155	0		0	1	0
3.2	157	156	0		1	1	0
3.5	99	156	0		0	1	0
3.4	158	157	0		1	1	0
3.5	100	157	0		0	1	0
3.4	157	158	0		1	1	0
3.4	99	158	0		0	1	0
3.2	158	159	1		1	1	0
3.4	160	159	1		1	1	0
3.2	183	159	0		1	1	0
3.4	159	160	1		1	1	0
3.1	161	160	1		1	1	0
3.2	182	160	0		1	1	0
3.1	160	161	1		1	1	0
3.1	179	161	1		1	1	0
3.3	178	162	1		1	1	0
3.1	221	162	0		1	1	0
3.1	177	163	1		1	1	0
3.3	222	163	0		1	1	0
3.0	251	163	0		0	1	0
3.4	221	164	0		1	1	0
3.2	252	164	0		0	1	0
3.1	220	165	0		1	1	0
3.0	251	165	0		0	1	0
3.2	90	165	0		0	1	0
3.4	229	166	0		1	1	0
4.0	89	166	0		0	1	0
3.6	228	167	0		1	1	0
4.0	90	167	0		0	1	0
3.1	229	168	0		1	1	0
4.0	89	168	0		0	1	0
3.3	90	169	0		0	1	0
3.2	149	173	1		1	1	0
3.4	227	173	0		0	1	0
3.6	150	174	0		0	1	0
3.8	226	174	0		0	1	0
3.3	151	175	1		1	1	0
3.7	227	175	0		0	1	0
3.1	181	176	0		0	1	0
3.4	228	176	0		0	1	0
3.1	163	177	1		1	1	0
3.4	182	177	0		0	1	0
3.3	237	177	1		1	1	0
3.3	162	178	1		1	1	0
3.3	183	178	0		0	1	0
3.2	236	178	1		1	1	0
3.1	161	179	1		1	1	0
3.1	182	179	0		0	1	0
3.4	138	180	1		1	1	0
3.2	177	180	0		0	1	0
3.4	139	181	1		1	1	0
3.1	159	181	0		1	1	0
3.2	178	181	0		0	1	0
3.5	138	182	1		1	1	0
3.2	160	182	0		1	1	0
3.4	177	182	0		0	1	0
3.1	139	183	1		1	1	0
3.2	159	183	0		1	1	0
3.3	178	183	0		0	1	0
3.0	160	184	0		1	1	0
3.1	20	187	0		1	1	0
3.1	138	188	0		1	1	0
3.2	21	188	0		1	1	0
3.2	139	189	0		1	1	0
3.0	20	189	0		1	1	0
3.2	140	190	0		1	1	0
3.1	147	190	0		0	1	0
3.4	141	191	0		1	1	0
3.2	145	191	0		1	1	0
3.7	142	192	0		1	1	0
3.6	144	192	0		1	1	0
3.8	143	193	0		1	1	0
3.4	145	193	0		1	1	0
3.1	142	194	0		1	1	0
3.5	144	194	0		1	1	0
3.1	196	196	1		1	1	0
3.3	232	199	0		0	1	0
3.2	233	200	0		0	1	0
3.2	232	201	0		0	1	0
3.2	206	205	0		0	1	0
3.1	0	205	0		0	1	0
3.6	207	206	0		0	1	0
3.2	255	206	0		0	1	0
3.2	1	206	0		0	1	0
3.6	206	207	0		0	1	0
3.5	208	207	0		0	1	0
3.3	0	207	0		0	1	0
3.5	207	208	0		0	1	0
3.6	209	208	1		1	1	0
3.5	109	208	1		1	1	0
3.6	208	209	1		1	1	0
3.7	110	209	1		1	1	0
3.2	39	210	0		0	1	0
4.1	109	210	1		1	1	0
3.1	117	210	0		1	1	0
3.3	38	211	0		0	1	0
4.3	110	211	1		1	1	0
3.3	112	211	1		1	1	0
3.1	9	212	1		1	1	0
4.1	111	212	1		1	1	0
3.6	8	213	0		1	1	0
3.7	110	213	1		1	1	0
3.4	112	213	1		1	1	0
4.1	9	214	0		1	1	0
3.2	111	214	1		1	1	0
4.2	8	215	0		1	1	0
4.2	9	216	0		1	1	0
3.9	8	217	0		1	1	0
3.2	46	217	0		0	1	0
3.5	116	217	0		1	1	0
3.7	7	218	0		1	1	0
3.3	45	218	0		0	1	0
4.0	115	218	0		1	1	0
3.3	6	219	0		1	1	0
4.1	116	219	0		1	1	0
3.1	165	220	0		1	1	0
3.8	117	220	0		1	1	0
3.4	164	221	0		1	1	0
3.5	118	221	0		1	1	0
3.3	163	222	0		1	1	0
3.2	33	222	0		0	1	0
3.4	119	222	0		1	1	0
3.5	32	223	0		0	1	0
3.0	120	223	0		1	1	0
3.1	174	224	0		0	1	0
3.5	33	224	0		0	1	0
3.4	173	225	0		0	1	0
3.8	174	226	0		0	1	0
3.0	176	226	0		0	1	0
3.7	175	227	0		0	1	0
3.5	96	227	1		1	1	0
3.6	174	228	0		0	1	0
3.4	176	228	0		0	1	0
3.1	236	228	0		0	1	0
3.0	95	228	1		1	1	0
3.5	97	228	1		1	1	0
3.4	175	229	0		0	1	0
3.0	177	229	0		0	1	0
3.1	98	229	1		1	1	0
3.2	174	230	0		0	1	0
3.0	173	231	0		0	1	0
3.1	200	231	0		0	1	0
3.3	199	232	0		0	1	0
3.2	200	233	0		0	1	0
3.5	235	235	1		1	1	0
3.1	69	235	0		1	1	0
3.0	106	235	0		1	1	0
3.2	178	236	1		1	1	0
3.7	236	236	1		1	1	0
3.0	244	236	0		1	1	0
3.3	68	236	0		1	1	0
3.4	107	236	0		1	1	0
3.3	177	237	1		1	1	0
3.7	237	237	1		1	1	0
3.1	241	237	1		1	1	0
3.6	106	237	0		1	1	0
3.8	238	238	1		1	1	0
3.9	240	238	1		1	1	0
3.9	107	238	0		1	1	0
4.3	239	239	1		1	1	0
4.2	241	239	1		1	1	0
3.6	108	239	0		1	1	0
3.9	238	240	1		1	1	0
4.7	240	240	1		1	1	0
3.5	107	240	0		1	1	0
4.2	239	241	1		1	1	0
4.2	241	241	1		1	1	0
3.1	108	241	0		1	1	0
3.5	238	242	1		1	1	0
3.8	240	242	1		1	1	0
3.1	239	243	1		1	1	0
3.0	236	244	0		1	1	0
3.2	41	245	0		1	1	0
3.9	40	246	0		1	1	0
4.3	41	247	0		1	1	0
3.1	6	248	0		0	1	0
4.2	40	248	0		1	1	0
3.4	5	249	0		0	1	0
3.9	39	249	0		1	1	0
3.7	6	250	0		0	1	0
3.6	38	250	0		1	1	0
3.0	165	251	0		0	1	0
3.5	5	251	0		0	1	0
3.1	39	251	0		1	1	0
3.3	131	252	0		1	1	0
3.2	164	252	0		0	1	0
3.2	6	252	0		0	1	0
3.7	130	253	0		1	1	0
4.5	131	254	1		1	1	0
4.4	130	255	1		1	1	0
3.2	206	255	0		0	1	0
3.2	50	255	0		0	1	0
4.1	131	0	1		1	1	0
3.3	207	0	0		0	1	0
3.3	49	0	0		0	1	0
3.1	125	0	0		0	1	0
3.0	132	1	1		1	1	0
3.2	206	1	0		0	1	0
3.2	50	1	0		0	1	0
3.5	125	1	0		1	1	0
3.8	126	2	0		1	1	0
3.0	249	3	1		1	1	0
3.8	125	3	0		1	1	0
3.2	250	4	0		0	1	0
3.2	92	4	0		0	1	0
3.2	126	4	0		1	1	0
3.2	218	5	0		1	1	0
3.5	251	5	0		0	1	0
3.0	91	5	0		0	1	0
3.6	217	6	0		1	1	0
3.7	250	6	0		0	1	0
3.9	216	7	0		1	1	0
3.4	251	7	0		0	1	0
4.2	215	8	0		1	1	0
3.1	250	8	0		0	1	0
4.2	216	9	0		1	1	0
4.0	215	10	1		1	1	0
3.5	216	11	1		1	1	0
3.1	20	11	0		1	1	0
3.0	149	15	0		1	1	0
3.3	16	15	0		1	1	0
3.4	148	16	0		1	1	0
3.3	15	16	0		1	1	0
3.2	16	16	0		0	1	0
3.8	149	17	0		1	1	0
3.2	17	17	0		0	1	0
3.7	150	18	0		1	1	0
3.0	18	18	0		0	1	0
3.7	149	19	0		1	1	0
3.2	79	19	0		0	1	0
3.4	150	20	0		1	1	0
3.1	187	20	0		1	1	0
3.1	11	20	0		1	1	0
3.1	28	20	0		0	1	0
3.2	188	21	0		1	1	0
3.2	56	23	0		0	1	0
3.3	57	24	0		0	1	0
3.1	56	25	0		0	1	0
3.0	83	25	0		0	1	0
3.2	82	26	0		0	1	0
3.1	139	27	1		1	1	0
3.0	79	27	0		0	1	0
3.5	89	27	0		1	1	0
3.0	140	28	1		1	1	0
3.1	20	28	0		0	1	0
3.6	82	28	0		0	1	0
3.7	81	29	0		0	1	0
3.8	82	30	1		1	1	0
3.5	83	31	1		1	1	0
3.5	223	32	0		0	1	0
3.2	82	32	1		1	1	0
3.2	137	33	1		1	1	0
3.2	222	33	0		0	1	0
3.5	224	33	0		0	1	0
3.4	136	34	1		1	1	0
3.2	223	34	0		0	1	0
3.3	92	34	0		1	1	0
3.5	137	35	0		1	1	0
3.4	93	35	0		1	1	0
3.8	138	36	0		1	1	0
3.2	92	36	0		1	1	0
4.0	141	37	0		1	1	0
3.3	249	37	0		1	1	0
4.0	140	38	0		1	1	0
3.2	211	38	0		0	1	0
3.6	250	38	0		1	1	0
3.6	141	39	0		1	1	0
3.2	210	39	0		0	1	0
3.9	249	39	0		1	1	0
4.2	248	40	0		1	1	0
4.3	247	41	0		1	1	0
4.0	248	42	0		1	1	0
3.6	247	43	0		1	1	0
