# target_slot, uvidx, shift_flag, upix, vpix
5 2878 0 21 65
6 3109 0 22 65
7 4734 0 35 65
8 4733 0 36 65
9 1173 0 47 65
9 2910 0 47 65
10 887 0 48 65
10 2419 0 48 65
10 3027 0 48 65
11 1220 0 49 65
12 1259 0 57 65
12 1894 0 57 65
13 862 0 58 65
14 4855 0 62 65
15 2279 0 63 65
15 4667 0 63 65
15 5266 1 -1 -1
0 2319 0 64 65
0 4746 0 64 65
1 2304 0 22 66
2 2237 0 23 66
3 4952 0 36 66
4 4132 0 37 66
4 4881 0 37 66
5 4327 0 38 66
6 2418 0 48 66
7 319 0 49 66
7 2118 0 49 66
8 466 0 50 66
9 1258 0 58 66
10 861 0 59 66
11 1257 0 60 66
12 4854 0 63 66
13 2249 0 64 66
13 4102 0 64 66
13 4923 0 64 66
14 2318 0 65 66
14 4745 0 65 66
15 2236 1 24 67
0 2303 0 25 67
1 4090 0 38 67
2 4131 0 39 67
3 390 0 50 67
3 2117 0 50 67
4 389 0 51 67
4 2474 0 51 67
5 527 0 60 67
5 1011 0 60 67
6 578 0 61 67
7 4307 0 64 67
8 1642 0 65 67
8 3978 0 65 67
9 1684 0 66 67
9 4099 0 66 67
10 2470 0 25 68
11 1665 0 26 68
11 2469 0 26 68
12 1756 0 27 68
13 4238 0 39 68
14 3436 0 40 68
15 3758 1 41 68
0 465 0 51 68
0 1625 0 51 68
0 2473 0 51 68
1 464 0 52 68
1 1716 0 52 68
2 254 0 61 68
3 526 0 62 68
4 4857 0 63 68
4 5166 0 63 68
5 4893 0 64 68
6 4306 0 65 68
7 1641 0 66 68
7 3449 0 66 68
7 4348 0 66 68
8 1640 0 67 68
8 4097 0 67 68
8 5227 0 67 68
9 1755 0 27 69
10 1557 0 28 69
11 4801 0 32 69
11 5090 0 32 69
12 4912 0 33 69
13 3473 0 41 69
14 3572 0 42 69
15 1667 0 52 69
15 5266 1 -1 -1
0 1594 0 53 69
1 334 0 62 69
2 484 0 63 69
3 4634 0 64 69
4 4856 0 65 69
5 3722 0 66 69
6 1251 0 67 69
6 1722 0 67 69
6 3358 0 67 69
6 5256 0 67 69
7 1010 0 68 69
7 3524 0 68 69
7 4520 0 68 69
7 5255 0 68 69
8 1592 0 29 70
9 1065 0 30 70
9 1875 0 30 70
10 4771 0 33 70
11 4657 0 34 70
12 3663 0 42 70
13 2815 0 43 70
13 3796 0 43 70
14 1835 0 53 70
15 997 0 54 70
15 1758 0 54 70
15 5266 1 -1 -1
0 1224 0 55 70
1 577 0 63 70
2 4309 0 65 70
2 4781 0 65 70
3 4152 0 66 70
4 3779 0 67 70
5 1043 0 68 70
5 2867 0 68 70
5 3688 0 68 70
5 5021 0 68 70
6 970 0 69 70
6 3554 0 69 70
6 4519 0 69 70
7 1172 0 30 71
8 954 0 31 71
9 1102 0 32 71
10 5008 0 34 71
11 4209 0 35 71
11 4843 0 35 71
12 4208 0 36 71
13 2814 0 44 71
14 2964 0 45 71
15 888 0 55 71
15 5266 1 -1 -1
0 1135 0 56 71
1 4108 0 66 71
2 4107 0 67 71
3 3148 0 68 71
4 1042 0 69 71
4 2707 0 69 71
4 5020 0 69 71
5 522 0 70 71
5 1116 0 70 71
5 2900 0 70 71
5 3909 0 70 71
6 1101 0 32 72
7 953 0 33 72
8 600 0 34 72
8 1219 0 34 72
9 4207 0 36 72
10 4000 0 37 72
11 4372 0 38 72
12 3041 0 45 72
13 2219 0 46 72
13 3130 0 46 72
14 956 0 56 72
15 504 0 57 72
15 1134 1 57 72
0 3584 0 67 72
0 4351 0 67 72
1 3491 0 68 72
2 3189 0 69 72
3 405 0 70 72
3 2264 0 70 72
3 2976 0 70 72
4 330 0 71 72
4 2935 0 71 72
4 3626 0 71 72
4 3974 0 71 72
5 388 0 34 73
6 318 0 35 73
7 3516 0 38 73
7 4371 0 38 73
8 3515 0 39 73
9 2174 0 47 73
10 2317 0 48 73
11 467 0 57 73
12 238 0 58 73
13 3583 0 68 73
14 3453 0 69 73
15 2550 0 70 73
15 5266 1 -1 -1
0 441 0 71 73
0 2055 0 71 73
1 290 0 72 73
1 2290 0 72 73
1 2549 0 72 73
1 3301 0 72 73
2 278 0 36 74
3 463 0 37 74
4 3762 0 39 74
5 3438 0 40 74
6 3175 0 41 74
6 3669 0 41 74
7 2349 0 48 74
8 1605 0 49 74
8 2491 0 49 74
9 603 0 58 74
10 202 0 59 74
