# target_slot, uvidx, shift_flag, upix, vpix
4 962 0 107 34
5 3748 0 116 34
5 4233 0 116 34
6 3650 0 117 34
7 1100 0 126 34
7 1753 0 126 34
8 4898 0 156 34
9 4756 0 157 34
10 4724 0 179 34
11 4941 0 180 34
12 1627 0 37 35
13 1837 0 38 35
14 3782 0 54 35
15 3160 0 55 35
15 3499 0 55 35
15 5266 1 -1 -1
0 506 0 58 35
1 434 0 59 35
2 4909 0 64 35
3 4734 0 65 35
4 4209 0 71 35
4 4843 0 71 35
5 318 0 73 35
6 2839 0 89 35
7 2837 0 100 35
8 3158 0 101 35
9 961 0 107 35
10 3419 0 117 35
11 914 0 126 35
12 4610 0 156 35
13 4645 0 179 35
14 1626 0 38 36
15 1836 0 39 36
15 5266 1 -1 -1
0 3024 0 55 36
1 2952 0 56 36
1 4985 0 56 36
1 5048 0 56 36
2 393 0 59 36
3 505 0 60 36
4 4733 0 65 36
5 4952 0 66 36
6 4208 0 71 36
7 4207 0 72 36
8 278 0 74 36
9 2880 0 89 36
10 3113 0 90 36
11 5211 0 96 36
12 2799 0 101 36
13 960 0 107 36
14 1229 0 108 36
15 3418 1 117 36
0 952 0 126 36
1 5197 0 133 36
2 4044 0 156 36
2 4979 0 156 36
3 4022 0 178 36
4 4990 0 179 36
5 1107 0 39 37
5 1791 0 39 37
6 1176 0 40 37
7 2951 0 56 37
7 4939 0 56 37
8 3068 0 57 37
8 4680 0 57 37
9 357 0 60 37
10 606 0 61 37
11 4132 0 66 37
11 4881 0 66 37
12 4000 0 72 37
13 463 0 74 37
14 462 0 75 37
15 2204 0 90 37
15 5266 1 -1 -1
0 4905 0 96 37
0 5210 0 96 37
1 4792 0 97 37
2 2836 0 101 37
3 562 0 108 37
3 1026 0 108 37
4 3077 0 117 37
4 3566 0 117 37
5 913 0 126 37
6 4658 0 133 37
6 5251 0 133 37
7 4017 0 156 37
8 4321 0 177 37
9 4086 0 178 37
10 998 0 40 38
11 1227 0 41 38
12 2838 0 57 38
12 4827 0 57 38
13 3159 0 58 38
13 4790 0 58 38
14 4327 0 66 38
15 4090 1 67 38
0 4372 0 72 38
1 3516 0 73 38
1 4371 0 73 38
2 2203 0 90 38
3 4613 0 97 38
4 2269 0 101 38
4 3067 0 101 38
5 281 0 108 38
6 2803 0 117 38
7 385 0 126 38
7 1171 0 126 38
8 4625 0 133 38
9 3740 0 155 38
9 4043 0 155 38
10 3749 0 177 38
10 4085 0 177 38
11 958 0 41 39
12 1226 0 42 39
13 2238 0 58 39
13 3110 0 58 39
13 4721 0 58 39
14 4361 0 59 39
14 4984 0 59 39
15 4131 1 67 39
0 4238 0 68 39
1 3515 0 73 39
2 3762 0 74 39
3 2472 0 90 39
4 2239 0 91 39
5 4643 0 97 39
6 2468 0 101 39
7 2268 0 102 39
8 324 0 108 39
9 2802 0 117 39
10 276 0 126 39
11 4624 0 133 39
11 4880 0 133 39
11 5082 0 133 39
12 3415 0 155 39
13 3652 0 176 39
14 3535 0 177 39
15 957 1 42 40
0 1225 0 43 40
1 5250 0 49 40
2 2471 0 58 40
3 2270 0 59 40
3 3983 0 59 40
4 3436 0 68 40
5 3438 0 74 40
6 1715 0 91 40
6 2381 0 91 40
7 4278 0 97 40
7 4940 0 97 40
8 4163 0 98 40
9 2159 0 102 40
10 280 0 108 40
11 2521 0 117 40
11 2842 0 117 40
12 317 0 126 40
13 4690 0 132 40
14 4001 0 133 40
14 4951 0 133 40
15 3414 0 155 40
15 5266 1 -1 -1
0 3420 0 176 40
1 323 0 43 41
2 605 0 44 41
3 5249 0 49 41
4 4737 0 50 41
4 5222 0 50 41
5 2338 0 59 41
6 2337 0 60 41
6 3982 0 60 41
7 3758 0 68 41
8 3473 0 69 41
9 3175 0 74 41
9 3669 0 74 41
10 2966 0 75 41
11 1666 0 91 41
12 1757 0 92 41
13 3985 0 98 41
14 1785 0 102 41
14 2302 0 102 41
15 507 1 108 41
0 607 0 109 41
1 2165 0 117 41
2 275 0 126 41
3 4621 0 132 41
4 4029 0 133 41
5 3157 0 154 41
5 3530 0 154 41
6 3693 0 155 41
7 3163 0 175 41
7 3651 0 175 41
8 3602 0 176 41
9 322 0 44 42
10 604 0 45 42
11 4911 0 50 42
12 4696 0 51 42
13 1833 0 60 42
13 2336 0 60 42
13 4276 0 60 42
14 1787 0 61 42
14 3565 0 61 42
14 4316 0 61 42
15 3572 1 69 42
0 3663 0 70 42
1 2819 0 75 42
2 1559 0 92 42
3 3699 0 98 42
3 4084 0 98 42
4 1664 0 102 42
5 1754 0 103 42
6 2273 0 117 42
7 2425 0 118 42
8 4763 0 125 42
8 5059 0 125 42
9 4204 0 132 42
9 4798 0 132 42
10 3670 0 133 42
10 4139 0 133 42
11 2798 0 154 42
12 2768 0 175 42
13 321 0 45 43
14 4884 0 51 43
15 4770 1 52 43
0 1558 0 61 43
0 3564 0 61 43
1 3596 0 62 43
2 2815 0 70 43
2 3796 0 70 43
3 2818 0 76 43
4 1223 0 92 43
4 1593 0 92 43
5 1222 0 93 43
6 3698 0 98 43
7 3506 0 99 43
8 1556 0 103 43
9 2208 0 118 43
10 4586 0 125 43
11 3997 0 132 43
12 3398 0 133 43
13 2797 0 154 43
14 2913 0 174 43
15 3078 0 175 43
15 5266 1 -1 -1
0 392 0 46 44
1 4244 0 52 44
1 5007 0 52 44
2 4171 0 53 44
3 1520 0 62 44
3 3466 0 62 44
4 3784 0 63 44
5 2814 0 71 44
6 2492 0 76 44
6 2997 0 76 44
7 2436 0 77 44
8 919 0 93 44
9 3417 0 99 44
10 1519 0 103 44
11 4826 0 116 44
11 5046 0 116 44
12 1597 0 118 44
12 2477 0 118 44
13 4618 0 125 44
14 3996 0 132 44
14 4897 0 132 44
14 5042 0 132 44
15 3397 0 133 44
15 5266 1 -1 -1
0 2983 0 153 44
1 2949 0 154 44
2 2804 0 174 44
3 4138 0 53 45
