# SNR	upix	vpix	boxc_width	time	dm	iblk
83.5	130	128	0		0	0	0
24.1	158	128	0		1	0	0
24.3	160	128	0		1	0	0
24.2	184	128	0		0	0	0
27.2	196	128	0		0	0	0
14.6	208	128	0		0	0	0
11.2	238	128	0		1	0	0
9.5	250	128	0		0	0	0
9.5	6	128	0		0	0	0
11.7	19	128	0		1	0	0
15.0	46	128	1		1	0	0
27.2	60	128	0		0	0	0
24.2	72	128	0		0	0	0
27.1	95	128	1		1	0	0
25.8	97	128	1		1	0	0
123.4	127	128	1		1	0	0
96.9	129	129	0		1	0	0
15.0	147	129	1		1	0	0
28.4	168	129	0		1	0	0
17.9	176	129	0		1	0	0
29.5	197	129	1		1	0	0
14.9	211	129	0		0	0	0
6.8	224	129	0		1	0	0
10.2	251	129	1		1	0	0
8.3	1	129	0		1	0	0
6.6	18	129	0		1	0	0
7.4	39	129	0		0	0	0
10.3	63	129	0		0	0	0
20.3	71	129	0		0	0	0
25.2	90	129	0		1	0	0
24.0	96	129	0		1	0	0
117.4	127	129	0		0	0	0
83.5	128	130	0		0	0	0
12.5	148	130	0		1	0	0
17.3	169	130	0		1	0	0
13.8	182	130	0		0	0	0
9.1	203	130	0		0	0	0
13.0	222	130	0		0	0	0
12.3	224	130	0		0	0	0
6.6	250	130	0		1	0	0
7.2	3	130	0		0	0	0
9.9	30	130	1		1	0	0
13.7	47	130	0		1	0	0
17.0	53	130	0		1	0	0
11.6	77	130	0		0	0	0
12.3	94	130	0		0	0	0
36.0	111	130	0		1	0	0
54.1	122	130	0		0	0	0
77.8	135	131	0		1	0	0
27.7	154	131	0		0	0	0
20.6	160	131	0		0	0	0
31.0	185	131	0		0	0	0
12.4	200	131	1		1	0	0
12.6	210	131	1		1	0	0
15.7	237	131	1		1	0	0
11.3	241	131	1		1	0	0
12.7	8	131	1		1	0	0
11.5	31	131	0		0	0	0
17.7	35	131	0		0	0	0
7.4	50	131	0		1	0	0
18.3	70	131	1		1	0	0
19.2	85	131	0		1	0	0
34.7	105	131	0		0	0	0
51.2	120	131	0		1	0	0
65.7	134	132	1		1	0	0
25.2	153	132	0		0	0	0
23.3	169	132	0		0	0	0
32.1	186	132	0		0	0	0
20.8	192	132	0		0	0	0
9.6	217	132	0		0	0	0
11.0	231	132	0		0	0	0
9.2	253	132	1		1	0	0
9.8	5	132	0		1	0	0
11.8	29	132	0		1	0	0
8.1	33	132	0		1	0	0
14.0	63	132	0		1	0	0
20.0	69	132	0		1	0	0
20.5	82	132	0		1	0	0
33.2	105	132	0		1	0	0
80.7	124	132	0		0	0	0
