# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.2	191	151	0	114	28	1	162	370	5.1149	60381.266609511	124.985	44.45377	-54.60000
6.0	102	 37	1	153	105	2	159	665	9.1930	60381.266656711	468.694	45.11680	-55.09024
6.3	 22	250	0	78	133	3	167	846	11.6951	60381.266685671	593.679	45.70157	-54.17122
6.1	 22	249	1	79	134	3	160	847	11.7089	60381.266685831	598.143	45.70163	-54.17554
6.0	134	 22	1	126	144	4	158	1150	15.8976	60381.266734311	642.780	44.87672	-55.15466
6.0	 31	145	3	219	16	5	158	1499	20.7222	60381.266790151	71.420	45.64161	-54.62412
6.0	160	233	0	111	40	5	158	1391	19.2292	60381.266772871	178.550	44.68657	-54.24772
6.3	132	 13	0	255	67	5	166	1535	21.2198	60381.266795911	299.071	44.89195	-55.19318
6.2	249	165	6	96	119	5	163	1376	19.0218	60381.266770471	531.186	44.02617	-54.53653
6.0	249	165	5	95	120	5	159	1375	19.0080	60381.266770311	535.650	44.02617	-54.53653
6.2	248	165	7	97	120	5	162	1377	19.0356	60381.266770631	535.650	44.03355	-54.53660
6.2	249	165	7	97	120	5	163	1377	19.0356	60381.266770631	535.650	44.02617	-54.53653
6.2	249	165	6	97	121	5	162	1377	19.0356	60381.266770631	540.114	44.02617	-54.53653
6.2	 98	239	0	120	54	6	163	1656	22.8925	60381.266815271	241.043	45.14252	-54.22187
6.1	217	172	1	18	145	6	160	1554	21.4825	60381.266798951	647.244	44.26297	-54.50845
6.1	134	 99	1	217	58	7	161	2009	27.7724	60381.266871751	258.898	44.87593	-54.82462
6.2	 60	204	0	68	43	9	163	2372	32.7905	60381.266929831	191.941	45.42333	-54.37164
6.0	213	209	0	225	136	9	158	2529	34.9609	60381.266954951	607.070	44.29544	-54.34932
6.2	214	209	0	225	136	9	162	2529	34.9609	60381.266954951	607.070	44.28809	-54.34927
6.3	 59	214	1	161	144	10	166	2721	37.6151	60381.266985671	642.780	45.43035	-54.32850
6.1	198	134	0	47	145	17	160	4399	60.8118	60381.267254151	647.244	44.40096	-54.67280
6.6	219	 89	3	5	8	20	173	5125	70.8480	60381.267370311	35.710	44.24221	-54.86500
6.1	219	237	4	160	6	21	161	5536	76.5297	60381.267436071	26.783	44.25385	-54.22826
6.0	131	 57	3	91	29	21	158	5467	75.5758	60381.267425031	129.449	44.89867	-55.00476
6.0	 25	135	0	250	160	25	158	6650	91.9296	60381.267614311	714.200	45.68704	-54.66673
6.0	206	142	1	40	13	26	158	6696	92.5655	60381.267621671	58.029	44.34214	-54.63805
6.0	103	167	3	222	18	26	158	6878	95.0815	60381.267650791	80.348	45.10596	-54.53219
6.0	201	105	1	233	82	27	159	7145	98.7725	60381.267693511	366.028	44.37709	-54.79723
6.0	 26	114	1	225	55	28	159	7393	102.2008	60381.267733191	245.506	45.68129	-54.75702
6.1	129	 79	1	153	141	28	161	7321	101.2055	60381.267721671	629.389	44.91338	-54.91044
6.3	129	 80	1	153	141	28	165	7321	101.2055	60381.267721671	629.389	44.91337	-54.90615
6.2	 78	 83	2	127	160	28	164	7295	100.8461	60381.267717511	714.200	45.29465	-54.89251
6.0	241	 25	1	57	47	29	158	7481	103.4173	60381.267747271	209.796	44.07365	-55.13790
6.4	 91	161	1	77	156	30	168	7757	107.2328	60381.267791431	696.345	45.19503	-54.55778
6.3	 91	161	1	77	157	30	165	7757	107.2328	60381.267791431	700.809	45.19503	-54.55778
6.2	 91	161	1	78	159	30	163	7758	107.2466	60381.267791591	709.736	45.19503	-54.55778
6.2	111	246	0	255	48	31	162	8191	113.2324	60381.267860871	214.260	45.04697	-54.19184
6.2	177	114	4	140	72	31	162	8076	111.6426	60381.267842471	321.390	44.55598	-54.75949
6.1	177	114	4	141	73	31	160	8077	111.6564	60381.267842631	325.854	44.55598	-54.75949
6.2	177	114	4	141	74	31	162	8077	111.6564	60381.267842631	330.318	44.55598	-54.75949
6.0	177	114	3	142	75	31	158	8078	111.6703	60381.267842791	334.781	44.55598	-54.75949
6.3	177	114	3	142	76	31	165	8078	111.6703	60381.267842791	339.245	44.55598	-54.75949
6.0	177	114	3	143	77	31	158	8079	111.6841	60381.267842951	343.709	44.55598	-54.75949
6.0	162	  5	1	230	122	31	158	8166	112.8868	60381.267856871	544.578	44.66621	-55.22705
6.3	197	 49	1	215	131	31	165	8151	112.6794	60381.267854471	584.751	44.40439	-55.03758
6.0	 79	176	1	122	149	32	159	8314	114.9327	60381.267880551	665.099	45.28361	-54.49291
6.1	228	 90	0	61	91	34	160	8765	121.1674	60381.267952711	406.201	44.17526	-54.86018
6.0	 63	241	6	25	78	35	158	8985	124.2086	60381.267987911	348.173	45.40002	-54.21221
6.1	 52	 10	7	36	7	36	161	9252	127.8997	60381.268030631	31.246	45.49500	-55.20421
6.0	141	  4	1	222	97	36	158	9438	130.4709	60381.268060391	432.984	44.82432	-55.23163
6.2	141	  4	2	223	98	36	163	9439	130.4847	60381.268060551	437.448	44.82432	-55.23163
