# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.4	143	226	0	95	20	72	169	18527	256.1172	60381.269514631	89.275	52.07916	-54.22277
6.1	143	225	3	149	120	72	161	18581	256.8637	60381.269523271	535.650	52.07912	-54.22708
6.2	186	 15	0	8	131	75	162	19208	265.5314	60381.269623591	584.751	51.75443	-55.12824
6.1	200	177	5	46	74	76	161	19502	269.5956	60381.269670631	330.318	51.65720	-54.43237
6.2	144	 38	0	187	74	76	164	19643	271.5448	60381.269693191	330.318	52.06926	-55.03070
6.0	218	212	3	117	156	78	159	20085	277.6550	60381.269763911	696.345	51.52774	-54.28077
6.1	183	102	6	85	9	79	161	20309	280.7516	60381.269799751	40.174	51.77900	-54.75541
6.1	134	162	6	21	16	79	160	20245	279.8669	60381.269789511	71.420	52.14379	-54.49847
6.0	245	 45	0	84	24	80	159	20564	284.2767	60381.269840551	107.130	51.31450	-54.99665
6.2	215	 78	5	85	125	80	162	20565	284.2906	60381.269840711	557.969	51.54000	-54.85703
6.1	 38	 13	5	187	9	82	160	21179	292.7785	60381.269938951	40.174	52.86759	-55.13532
6.0	 38	 13	6	189	12	82	158	21181	292.8062	60381.269939271	53.565	52.86759	-55.13532
6.1	248	131	4	206	130	82	160	21198	293.0411	60381.269941991	580.288	51.29930	-54.62743
6.2	248	131	6	207	132	82	162	21199	293.0550	60381.269942151	589.215	51.29930	-54.62743
6.2	192	 86	0	65	147	83	162	21313	294.6309	60381.269960391	656.172	51.71148	-54.82376
6.1	 96	 10	3	197	157	83	160	21445	296.4557	60381.269981511	700.809	52.43078	-55.15033
6.0	 96	 10	4	200	161	83	158	21448	296.4972	60381.269981991	718.664	52.43078	-55.15033
6.1	232	121	3	50	139	87	161	22322	308.5793	60381.270121831	620.461	51.41674	-54.67147
6.3	161	165	1	138	6	89	165	22922	316.8737	60381.270217831	26.783	51.94426	-54.48524
6.2	124	204	3	20	55	89	162	22804	315.2425	60381.270198951	245.506	52.21830	-54.31765
6.0	 10	204	3	16	145	90	158	23056	318.7261	60381.270239271	647.244	53.06001	-54.31345
6.0	192	200	3	79	39	91	159	23375	323.1360	60381.270290311	174.086	51.71767	-54.33366
6.0	193	200	3	79	39	91	158	23375	323.1360	60381.270290311	174.086	51.71032	-54.33363
6.6	103	 70	0	202	90	91	173	23498	324.8364	60381.270309991	401.738	52.37537	-54.89343
6.0	158	139	5	117	30	92	159	23669	327.2003	60381.270337351	133.913	51.96564	-54.59711
6.1	143	159	0	116	76	92	161	23668	327.1864	60381.270337191	339.245	52.07716	-54.51131
6.2	109	115	2	225	86	92	163	23777	328.6932	60381.270354631	383.883	52.32937	-54.70039
6.1	 59	204	3	162	152	92	160	23714	327.8223	60381.270344551	678.490	52.69778	-54.31622
6.2	187	157	1	201	1	95	164	24521	338.9783	60381.270473671	4.464	51.75184	-54.51894
6.2	 13	 15	1	19	40	95	163	24339	336.4623	60381.270444551	178.550	53.05595	-55.12519
6.0	250	178	0	104	153	95	158	24424	337.6374	60381.270458151	682.954	51.28932	-54.42516
6.1	 68	119	3	155	55	96	160	24731	341.8813	60381.270507271	245.506	52.63449	-54.68223
6.0	 26	 27	0	75	38	97	158	24907	344.3144	60381.270535431	169.623	52.95651	-55.07469
6.6	181	229	0	121	79	98	173	25209	348.4892	60381.270583751	352.636	51.80042	-54.20906
6.7	182	229	0	121	79	98	176	25209	348.4892	60381.270583751	352.636	51.79309	-54.20903
6.1	223	 14	2	231	96	98	160	25319	350.0099	60381.270601351	428.520	51.47710	-55.13081
6.0	185	101	1	151	18	100	158	25751	355.9818	60381.270670471	80.348	51.76410	-54.75964
6.2	 16	 20	3	89	77	100	162	25689	355.1247	60381.270660551	343.709	53.03271	-55.10400
6.0	 92	107	0	26	7	101	158	25882	357.7928	60381.270691431	31.246	52.45618	-54.73446
6.2	253	 45	0	43	78	101	164	25899	358.0278	60381.270694151	348.173	51.25481	-54.99606
6.1	208	132	0	47	132	102	160	26159	361.6220	60381.270735751	589.215	51.59512	-54.62554
6.1	188	 18	1	118	5	104	160	26742	369.6814	60381.270829031	22.319	51.73945	-55.11533
6.0	127	206	5	152	12	104	159	26776	370.1514	60381.270834471	53.565	52.19623	-54.30904
6.0	127	206	5	152	13	104	158	26776	370.1514	60381.270834471	58.029	52.19623	-54.30904
6.1	 47	 51	1	27	69	104	160	26651	368.4234	60381.270814471	307.999	52.79619	-54.97306
6.1	161	176	3	5	3	105	160	26885	371.6582	60381.270851911	13.391	51.94468	-54.43790
6.1	162	176	3	5	3	105	161	26885	371.6582	60381.270851911	13.391	51.93730	-54.43789
6.3	 26	107	0	142	153	105	165	27022	373.5521	60381.270873831	682.954	52.94862	-54.73169
6.0	181	 11	3	50	65	106	158	27186	375.8193	60381.270900071	290.144	51.79184	-55.14552
6.0	 50	174	0	120	111	106	158	27256	376.7870	60381.270911271	495.476	52.76555	-54.44500
6.0	219	118	3	186	131	108	158	27834	384.7772	60381.271003751	584.751	51.51275	-54.68512
6.0	197	 34	1	82	77	109	159	27986	386.8785	60381.271028071	343.709	51.67241	-55.04646
6.0	102	152	1	172	145	109	158	28076	388.1226	60381.271042471	647.244	52.38077	-54.54128
6.0	 10	255	3	138	22	112	158	28810	398.2694	60381.271159911	98.203	53.05679	-54.09351
6.0	 10	255	3	140	25	112	159	28812	398.2971	60381.271160231	111.594	53.05679	-54.09351
