,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id
141,6.1,216,195,1,24,13,129,161,33048,456.8556,60381.271837991,58.029,51.54085,-54.3541,124
142,6.2,87,116,6,41,152,129,162,33065,457.0905,60381.271840711,678.49,52.49311,-54.6957,125
143,6.1,71,78,7,8,8,130,161,33288,460.1733,60381.271876391,35.71,52.61432,-54.85832,126
144,6.4,124,117,1,15,161,130,168,33295,460.2701,60381.271877511,718.664,52.21777,-54.69191,127
145,6.0,53,82,0,140,68,131,158,33676,465.537,60381.271938471,303.535,52.74872,-54.84044,128
146,6.0,90,166,0,100,48,132,158,33892,468.523,60381.271973031,214.26,52.46946,-54.48083,129
147,6.2,210,30,0,194,71,133,162,34242,473.3614,60381.272029031,316.926,51.575,-55.063,130
148,6.0,210,31,3,195,72,133,159,34243,473.3752,60381.272029191,321.39,51.57504,-55.05871,130
149,6.2,210,31,3,196,73,133,162,34244,473.3891,60381.272029351,325.854,51.57504,-55.05871,130
150,6.0,59,170,0,160,55,134,159,34464,476.4303,60381.272064551,245.506,52.69901,-54.46261,131
151,6.2,251,110,0,104,122,134,164,34408,475.6562,60381.272055591,544.578,51.27509,-54.71741,132
152,6.5,31,147,1,23,23,135,170,34583,478.0754,60381.272083591,102.666,52.90818,-54.56013,133
153,6.2,31,147,2,24,23,135,162,34584,478.0892,60381.272083751,102.666,52.90818,-54.56013,133
154,6.1,185,18,1,107,40,135,161,34667,479.2366,60381.272097031,178.55,51.76189,-55.11543,134
155,6.0,189,180,1,247,24,136,158,35063,484.7109,60381.272160391,107.13,51.7384,-54.4199,135
156,6.4,195,129,1,248,159,136,169,35064,484.7247,60381.272160551,709.736,51.69117,-54.639,136
157,6.2,165,113,3,91,161,137,162,35163,486.0933,60381.272176391,718.664,51.91304,-54.70868,137
158,6.1,88,239,3,230,93,138,160,35558,491.5538,60381.272239591,415.129,52.48351,-54.16628,138
159,6.2,141,161,3,128,104,138,162,35456,490.1437,60381.272223271,464.23,52.09198,-54.50273,139
160,6.0,120,126,0,38,0,139,158,35622,492.4385,60381.272249831,0.0,52.24744,-54.65323,140
161,6.3,119,7,0,220,36,139,166,35804,494.9545,60381.272278951,160.695,52.25776,-55.16346,141
162,6.0,221,120,1,23,153,139,158,35607,492.2312,60381.272247431,682.954,51.49806,-54.67641,142
163,6.0,200,112,0,30,19,140,158,35870,495.8669,60381.272289511,84.811,51.65321,-54.71182,143
164,6.1,226,196,0,183,37,140,160,36023,497.982,60381.272313991,165.159,51.46746,-54.34924,144
165,6.0,111,85,5,198,143,140,158,36038,498.1893,60381.272316391,638.316,52.31512,-54.82919,145
166,6.3,111,85,3,198,145,140,165,36038,498.1893,60381.272316391,647.244,52.31512,-54.82919,145
167,6.2,117,69,3,142,119,143,164,36750,508.032,60381.272430311,531.186,52.2707,-54.89787,146
168,6.3,117,69,3,143,121,143,167,36751,508.0458,60381.272430471,540.114,52.2707,-54.89787,146
169,6.2,135,27,0,178,6,144,162,37042,512.0686,60381.272477031,26.783,52.13688,-55.07786,147
170,6.4,136,27,0,178,6,144,168,37042,512.0686,60381.272477031,26.783,52.12938,-55.07785,147
171,6.0,36,164,1,86,118,144,158,36950,510.7968,60381.272462311,526.723,52.8699,-54.4873,148
172,6.2,161,253,6,158,0,145,163,37278,515.3311,60381.272514791,0.0,51.94842,-54.10603,149
173,6.4,179,42,1,150,76,147,168,37782,522.2983,60381.272595431,339.245,51.8072,-55.01284,150
174,6.2,186,193,3,234,139,147,162,37866,523.4596,60381.272608871,620.461,51.7613,-54.36403,151
175,6.1,92,219,3,104,153,147,160,37736,521.6625,60381.272588071,682.954,52.4541,-54.25261,152
176,6.1,99,167,1,153,0,148,161,38041,525.8788,60381.272636871,0.0,52.4028,-54.47671,153
177,6.0,39,227,0,232,13,148,159,38120,526.9709,60381.272649511,58.029,52.84446,-54.21611,154
178,6.4,40,227,1,233,13,148,168,38121,526.9847,60381.272649671,58.029,52.83709,-54.21617,154
179,6.2,62,64,5,254,137,148,163,38142,527.275,60381.272653031,611.534,52.68261,-54.91801,155
180,6.1,38,23,0,178,84,149,161,38322,529.7633,60381.272681831,374.955,52.86646,-55.09251,156
181,6.2,229,199,0,214,39,150,163,38614,533.7999,60381.272728551,174.086,51.4457,-54.33614,157
182,6.0,186,33,0,195,112,150,158,38595,533.5373,60381.272725511,499.94,51.75466,-55.05116,158
183,6.0,198,196,0,255,18,151,159,38911,537.9056,60381.272776071,80.348,51.67322,-54.35065,159
184,6.5,202,125,0,134,139,151,170,38790,536.233,60381.272756711,620.461,51.6391,-54.65589,160
185,6.2,239,148,6,52,1,152,163,38964,538.6384,60381.272784552,4.464,51.36727,-54.55498,161
186,6.0,240,95,3,108,9,152,159,39020,539.4125,60381.272793511,40.174,51.35533,-54.78258,162
187,6.0,240,96,3,108,9,152,159,39020,539.4125,60381.272793511,40.174,51.35541,-54.77829,162
188,6.2,49,137,0,49,25,152,162,38961,538.5969,60381.272784071,111.594,52.77494,-54.60408,163
189,6.1,50,137,0,49,25,152,161,38961,538.5969,60381.272784071,111.594,52.7675,-54.60413,163
190,6.0,251,119,0,144,87,152,159,39056,539.9102,60381.272799271,388.346,51.27591,-54.67876,164
191,6.0,122,5,5,64,83,153,158,39232,542.3431,60381.272827431,370.491,52.23525,-55.17202,165
192,6.0,135,194,0,14,35,154,159,39438,545.1909,60381.272860391,156.231,52.13699,-54.36071,166
193,6.2,172,135,5,188,75,154,162,39612,547.5963,60381.272888231,334.781,51.86179,-54.61399,167
194,6.1,62,31,1,160,157,155,161,39840,550.7482,60381.272924711,700.809,52.68507,-55.05941,168
195,6.0,229,199,0,111,59,156,159,40047,553.6097,60381.272957831,263.361,51.44568,-54.33614,169
196,6.1,44,141,3,80,25,158,161,40528,560.2591,60381.273034791,111.594,52.81188,-54.58664,170
197,6.5,44,141,3,80,26,158,172,40528,560.2591,60381.273034791,116.058,52.81188,-54.58664,170
198,6.1,81,202,0,216,84,158,161,40664,562.1392,60381.273056551,374.955,52.53535,-54.3256,171
199,6.2,222,146,3,218,113,158,163,40666,562.1668,60381.273056871,504.404,51.49258,-54.56462,172
200,6.1,145,117,3,4,4,160,160,40964,566.2863,60381.273104551,17.855,52.06168,-54.69183,173
201,6.0,19,96,5,230,7,160,158,41190,569.4106,60381.273140711,31.246,53.00188,-54.77845,174
202,6.1,19,96,4,230,8,160,160,41190,569.4106,60381.273140711,35.71,53.00188,-54.77845,174
203,6.0,18,96,5,231,9,160,158,41191,569.4244,60381.273140871,40.174,53.00937,-54.77839,174
204,6.1,19,96,5,231,9,160,160,41191,569.4244,60381.273140871,40.174,53.00188,-54.77845,174
205,6.0,19,96,4,231,10,160,158,41191,569.4244,60381.273140871,44.638,53.00188,-54.77845,174
206,6.0,136,10,3,243,78,160,158,41203,569.5903,60381.273142791,348.173,52.12977,-55.15062,175
207,6.0,244,216,0,243,19,162,158,41715,576.6682,60381.273224711,84.811,51.33746,-54.26191,176
208,6.0,122,252,1,202,126,163,159,41930,579.6403,60381.273259111,562.433,52.23407,-54.11065,177
209,6.3,78,115,0,247,147,163,166,41975,580.2624,60381.273266311,656.172,52.56017,-54.69974,178
210,6.3,79,116,0,247,147,163,165,41975,580.2624,60381.273266311,656.172,52.55268,-54.69548,178
211,6.1,24,4,1,200,35,164,160,42184,583.1516,60381.273299751,156.231,52.97412,-55.17298,179
212,6.0,185,244,6,56,86,164,159,42040,581.1609,60381.273276711,383.883,51.77212,-54.14422,180
213,6.1,185,244,6,57,87,164,160,42041,581.1748,60381.273276871,388.346,51.77212,-54.14422,180
214,6.0,185,244,6,57,88,164,158,42041,581.1748,60381.273276871,392.81,51.77212,-54.14422,180
215,6.0,173,124,5,165,104,164,158,42149,582.6678,60381.273294151,464.23,51.85399,-54.66123,181
216,6.0,173,124,4,166,106,164,159,42150,582.6816,60381.273294311,473.158,51.85399,-54.66123,181
217,6.6,173,124,4,166,107,164,173,42150,582.6816,60381.273294311,477.621,51.85399,-54.66123,181
218,6.1,174,124,3,165,107,164,161,42149,582.6678,60381.273294151,477.621,51.84658,-54.6612,181
219,6.2,173,124,4,166,108,164,163,42150,582.6816,60381.273294311,482.085,51.85399,-54.66123,181
220,6.1,139,213,0,188,31,165,161,42428,586.5247,60381.273338791,138.376,52.10805,-54.27884,182
221,6.0,1,29,0,240,130,165,158,42480,587.2435,60381.273347111,580.288,53.14456,-55.06435,183
222,6.0,71,25,3,228,84,167,158,42980,594.1555,60381.273427111,374.955,52.61782,-55.08543,184
223,6.2,210,194,0,155,22,168,164,43163,596.6853,60381.273456391,98.203,51.58482,-54.35871,185
224,6.0,247,86,2,194,95,168,158,43202,597.2244,60381.273462631,424.056,51.30261,-54.82071,186
225,6.0,52,8,5,89,67,170,158,43609,602.8508,60381.273527751,299.071,52.76237,-55.15741,187
226,6.1,24,223,2,23,36,171,160,43799,605.4774,60381.273558151,160.695,52.95525,-54.23248,188
227,6.1,24,223,2,24,37,171,161,43800,605.4912,60381.273558311,165.159,52.95525,-54.23248,188
228,6.2,53,233,0,127,42,172,162,44159,610.454,60381.273615751,187.478,52.74106,-54.19093,189
229,6.2,60,116,0,101,48,172,163,44133,610.0946,60381.273611591,214.26,52.69424,-54.6948,190
230,6.2,61,116,0,101,48,172,164,44133,610.0946,60381.273611591,214.26,52.68679,-54.69484,190
231,6.2,13,203,1,193,132,173,163,44481,614.9053,60381.273667271,589.215,53.03775,-54.31795,191
232,6.1,94,251,0,186,36,174,161,44730,618.3475,60381.273707111,160.695,52.43943,-54.11462,192
233,6.0,16,196,0,224,54,174,158,44768,618.8728,60381.273713191,241.043,53.01603,-54.34831,193
234,6.1,25,236,5,192,116,176,160,45248,625.5084,60381.273789991,517.795,52.9472,-54.17648,194
235,6.1,25,236,5,192,117,176,160,45248,625.5084,60381.273789991,522.259,52.9472,-54.17648,194
236,6.0,25,236,5,193,118,176,158,45249,625.5222,60381.273790151,526.723,52.9472,-54.17648,194
237,6.1,23,65,6,113,131,179,161,45937,635.0331,60381.273900231,584.751,52.97493,-54.91168,195
238,6.2,229,149,1,140,158,180,164,46220,638.9453,60381.273945511,705.273,51.44113,-54.55131,196
239,6.0,155,79,4,95,112,182,158,46687,645.4011,60381.274020231,499.94,51.98689,-54.8548,197
240,6.0,155,79,5,96,112,182,158,46688,645.4149,60381.274020391,499.94,51.98689,-54.8548,197
241,6.2,27,184,5,160,152,182,162,46752,646.2996,60381.274030631,678.49,52.93535,-54.4007,198
242,6.0,83,0,5,51,115,183,158,46899,648.3318,60381.274054151,513.331,52.52925,-55.19279,199
243,6.2,187,116,0,166,34,187,164,48038,664.0773,60381.274236391,151.768,51.74983,-54.69515,200
244,6.1,194,219,1,232,34,189,161,48616,672.0676,60381.274328871,151.768,51.70427,-54.2517,201
245,6.0,171,152,5,196,153,192,158,49348,682.1868,60381.274445991,682.954,51.86983,-54.54093,202
246,6.0,139,48,0,112,145,193,158,49520,684.5645,60381.274473511,647.244,52.1065,-54.98788,203
247,6.0,129,116,2,158,29,194,158,49822,688.7393,60381.274521831,129.449,52.1806,-54.69621,204
248,6.0,54,191,0,7,160,196,158,50183,693.7298,60381.274579591,714.2,52.73513,-54.37199,205
249,6.1,255,2,0,198,104,197,161,50630,699.9091,60381.274651111,464.23,51.23655,-55.17997,206
250,6.0,134,254,1,155,5,198,159,50843,702.8536,60381.274685191,22.319,52.14614,-54.10202,207
251,6.1,197,87,3,45,26,199,160,50989,704.8719,60381.274708551,116.058,51.67427,-54.81926,208
252,6.4,254,26,0,9,118,199,168,50953,704.3743,60381.274702791,526.723,51.24574,-55.07734,209
253,6.1,246,6,0,239,3,200,161,51439,711.0927,60381.274780551,13.391,51.30423,-55.16353,210
254,6.1,58,197,5,231,111,207,160,53223,735.7548,60381.275065991,495.476,52.70531,-54.34632,211
255,6.1,58,197,1,228,112,207,161,53220,735.7133,60381.275065511,499.94,52.70531,-54.34632,212
256,6.1,187,94,0,190,99,209,161,53694,742.2659,60381.275141351,441.911,51.74893,-54.7896,213
257,6.0,73,186,0,230,97,210,159,53990,746.3578,60381.275188711,432.984,52.59478,-54.39426,214
258,6.2,162,48,5,10,37,213,164,54538,753.9333,60381.275276391,165.159,51.93439,-54.98757,215
259,6.1,162,48,3,11,39,213,160,54539,753.9471,60381.275276551,174.086,51.93439,-54.98757,215
260,6.1,162,48,5,12,40,213,160,54540,753.9609,60381.275276711,178.55,51.93439,-54.98757,215
261,6.1,95,97,6,48,143,213,161,54576,754.4586,60381.275282471,638.316,52.43414,-54.77745,216
262,6.0,95,97,6,48,144,213,159,54576,754.4586,60381.275282471,642.78,52.43414,-54.77745,216
263,6.4,39,178,3,66,1,214,169,54850,758.2464,60381.275326311,4.464,52.84677,-54.42721,217
264,6.0,40,179,3,66,1,214,158,54850,758.2464,60381.275326311,4.464,52.83931,-54.42296,217
265,6.0,39,178,6,69,4,214,159,54853,758.2879,60381.275326792,17.855,52.84677,-54.42721,218
266,6.2,28,149,3,98,96,214,164,54882,758.6888,60381.275331431,428.52,52.93028,-54.55135,219
