,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id
0,6.2,191,151,0,114,28,1,162,370,5.1149,60381.266609511,124.985,44.45377,-54.6,0
1,6.0,102,37,1,153,105,2,159,665,9.193,60381.266656711,468.694,45.1168,-55.09024,1
2,6.3,22,250,0,78,133,3,167,846,11.6951,60381.266685671,593.679,45.70157,-54.17122,2
3,6.1,22,249,1,79,134,3,160,847,11.7089,60381.266685831,598.143,45.70163,-54.17554,2
4,6.0,134,22,1,126,144,4,158,1150,15.8976,60381.266734311,642.78,44.87672,-55.15466,3
5,6.0,31,145,3,219,16,5,158,1499,20.7222,60381.266790151,71.42,45.64161,-54.62412,4
6,6.0,160,233,0,111,40,5,158,1391,19.2292,60381.266772871,178.55,44.68657,-54.24772,5
7,6.3,132,13,0,255,67,5,166,1535,21.2198,60381.266795911,299.071,44.89195,-55.19318,6
8,6.2,249,165,6,96,119,5,163,1376,19.0218,60381.266770471,531.186,44.02617,-54.53653,7
9,6.0,249,165,5,95,120,5,159,1375,19.008,60381.266770311,535.65,44.02617,-54.53653,7
10,6.2,248,165,7,97,120,5,162,1377,19.0356,60381.266770631,535.65,44.03355,-54.5366,7
11,6.2,249,165,7,97,120,5,163,1377,19.0356,60381.266770631,535.65,44.02617,-54.53653,7
12,6.2,249,165,6,97,121,5,162,1377,19.0356,60381.266770631,540.114,44.02617,-54.53653,7
13,6.2,98,239,0,120,54,6,163,1656,22.8925,60381.266815271,241.043,45.14252,-54.22187,8
14,6.1,217,172,1,18,145,6,160,1554,21.4825,60381.266798951,647.244,44.26297,-54.50845,9
15,6.1,134,99,1,217,58,7,161,2009,27.7724,60381.266871751,258.898,44.87593,-54.82462,10
16,6.2,60,204,0,68,43,9,163,2372,32.7905,60381.266929831,191.941,45.42333,-54.37164,11
17,6.0,213,209,0,225,136,9,158,2529,34.9609,60381.266954951,607.07,44.29544,-54.34932,12
18,6.2,214,209,0,225,136,9,162,2529,34.9609,60381.266954951,607.07,44.28809,-54.34927,12
19,6.3,59,214,1,161,144,10,166,2721,37.6151,60381.266985671,642.78,45.43035,-54.3285,13
