,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id,lpix_rms,mpix_rms,centl,centm,num_samps,num_spatial
207,6.0,134,254,1,155,5,198,159,50843,702.8536,60381.274685191,22.319,52.14614,-54.10202,207,,,134.0,254.0,1,-1
208,6.1,197,87,3,45,26,199,160,50989,704.8719,60381.274708551,116.058,51.67427,-54.81926,208,,,197.0,87.0,1,-1
209,6.4,254,26,0,9,118,199,168,50953,704.3743,60381.274702791,526.723,51.24574,-55.07734,209,,,254.0,26.0,1,-1
210,6.1,246,6,0,239,3,200,161,51439,711.0927,60381.274780551,13.391,51.30423,-55.16353,210,,,246.0,6.0,1,-1
211,6.1,58,197,5,231,111,207,160,53223,735.7548,60381.275065991,495.476,52.70531,-54.34632,211,,,58.0,197.0,1,-1
212,6.1,58,197,1,228,112,207,161,53220,735.7133,60381.275065511,499.94,52.70531,-54.34632,212,,,58.0,197.0,1,-1
213,6.1,187,94,0,190,99,209,161,53694,742.2659,60381.275141351,441.911,51.74893,-54.7896,213,,,187.0,94.0,1,-1
214,6.0,73,186,0,230,97,210,159,53990,746.3578,60381.275188711,432.984,52.59478,-54.39426,214,,,73.0,186.0,1,-1
216,6.1,95,97,6,48,143,213,161,54576,754.4586,60381.275282471,638.316,52.43414,-54.77745,216,0.0,0.0,95.0,97.0,2,-1
217,6.4,39,178,3,66,1,214,169,54850,758.2464,60381.275326311,4.464,52.84677,-54.42721,217,0.7071067811865476,0.7071067811865476,39.5,178.5,2,-1
218,6.0,39,178,6,69,4,214,159,54853,758.2879,60381.275326792,17.855,52.84677,-54.42721,218,,,39.0,178.0,1,-1
219,6.2,28,149,3,98,96,214,164,54882,758.6888,60381.275331431,428.52,52.93028,-54.55135,219,,,28.0,149.0,1,-1
220,6.1,213,83,5,63,53,215,160,55103,761.7439,60381.275366791,236.579,51.55504,-54.83567,220,,,213.0,83.0,1,-1
221,6.0,213,83,5,66,56,215,158,55106,761.7853,60381.275367271,249.97,51.55504,-54.83567,221,0.0,0.0,213.0,83.0,2,-1
222,6.0,147,94,1,181,105,215,158,55221,763.3751,60381.275385671,468.694,52.04661,-54.79055,222,,,147.0,94.0,1,-1
223,6.1,122,90,6,134,132,217,160,55686,769.8033,60381.275460071,589.215,52.23294,-54.80782,223,,,122.0,90.0,1,-1
224,6.0,124,158,0,119,134,221,159,56695,783.7517,60381.275621511,598.143,52.21774,-54.51567,224,,,124.0,158.0,1,-1
227,6.2,205,138,7,65,11,226,162,57921,800.6999,60381.275817671,49.101,51.61763,-54.59988,227,,,205.0,138.0,1,-1
231,6.1,204,138,7,71,36,226,161,57927,800.7828,60381.275818631,160.695,51.62503,-54.59993,231,,,204.0,138.0,1,-1
232,6.1,204,138,7,121,119,226,160,57977,801.4741,60381.275826631,531.186,51.62503,-54.59993,232,,,204.0,138.0,1,-1
234,6.7,204,138,7,166,155,226,176,58022,802.0961,60381.275833831,691.881,51.62503,-54.59993,234,,,204.0,138.0,1,-1
235,6.3,204,138,7,167,160,226,167,58023,802.1099,60381.275833991,714.2,51.62503,-54.59993,235,0.0,0.0,204.0,138.0,2,-1
236,6.0,242,79,1,144,152,228,158,58512,808.8699,60381.275912231,678.49,51.33913,-54.85108,236,,,242.0,79.0,1,-1
237,6.1,234,49,3,187,80,237,161,60859,841.3148,60381.276287751,357.1,51.39657,-54.98022,237,,,234.0,49.0,1,-1
238,6.3,104,162,0,242,144,248,167,63730,881.0035,60381.276747111,642.78,52.36581,-54.4983,238,,,104.0,162.0,1,-1
239,6.0,195,45,0,68,70,252,158,64580,892.7539,60381.276883111,312.463,51.68756,-54.9994,239,,,195.0,45.0,1,-1
240,6.5,116,248,0,161,31,263,170,67489,932.968,60381.277348551,138.376,52.27784,-54.12786,240,0.7071067811865476,0.7071067811865476,116.5,248.5,2,-1
241,6.2,74,72,4,236,40,264,162,67820,937.5437,60381.277401511,178.55,52.59216,-54.88415,241,0.0,0.0,74.0,72.0,2,-1
242,6.0,1,225,2,69,113,265,159,67909,938.774,60381.277415752,504.404,53.1247,-54.22222,242,,,1.0,225.0,1,-1
243,6.0,63,192,5,177,16,267,158,68529,947.3449,60381.277514951,71.42,52.66849,-54.36805,243,,,63.0,192.0,1,-1
244,6.2,10,199,2,134,160,272,164,69766,964.4452,60381.277712871,714.2,53.06009,-54.33495,244,,,10.0,199.0,1,-1
245,6.1,188,171,4,235,60,273,160,70123,969.3804,60381.277769991,267.825,51.74518,-54.45866,245,,,188.0,171.0,1,-1
246,6.0,230,147,5,0,92,281,159,71936,994.4432,60381.278060071,410.665,51.43349,-54.55984,246,,,230.0,147.0,1,-1
247,6.1,165,236,0,175,143,291,160,74671,1032.252,60381.278497672,638.316,51.91798,-54.17928,247,,,165.0,236.0,1,-1
248,6.2,9,186,0,32,56,299,162,76576,1058.5867,60381.278802472,249.97,53.06842,-54.39086,248,0.7071067811865476,0.0,8.5,186.0,2,-1
249,6.0,169,83,0,84,113,310,159,79444,1098.2339,60381.279261352,504.404,51.88256,-54.83735,249,,,169.0,83.0,1,-1
250,6.3,14,57,0,148,51,312,166,80020,1106.1965,60381.279353512,227.651,53.04315,-54.94535,250,,,14.0,57.0,1,-1
251,6.1,242,125,3,238,121,315,161,80878,1118.0575,60381.279490791,540.114,51.34286,-54.6536,251,,,242.0,125.0,1,-1
252,6.0,80,216,1,30,27,317,159,81182,1122.26,60381.279539432,120.521,52.5424,-54.26522,252,,,80.0,216.0,1,-1
253,6.0,13,220,0,175,80,318,158,81583,1127.8033,60381.279603591,357.1,53.03638,-54.24465,253,,,13.0,220.0,1,-1
254,6.2,27,253,0,247,104,320,164,82167,1135.8766,60381.279697031,464.23,52.93139,-54.10321,254,,,27.0,253.0,1,-1
255,6.4,183,214,0,1,62,325,168,83201,1150.1707,60381.279862472,276.753,51.78455,-54.27364,255,,,183.0,214.0,1,-1
256,6.1,176,64,1,213,109,325,160,83413,1153.1013,60381.279896391,486.549,51.82994,-54.91864,256,,,176.0,64.0,1,-1
257,6.0,214,192,0,134,17,327,159,83846,1159.0872,60381.279965672,75.884,51.55511,-54.3671,257,,,214.0,192.0,1,-1
258,6.1,106,65,0,227,102,332,160,85219,1178.0675,60381.280185352,455.303,52.35302,-54.9149,258,,,106.0,65.0,1,-1
