,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
57,12.7,11,26,1,175,77,4,397,1199,16.575,60424.608065671,296.241,193.35872,-64.38268,1159.7890243530273,58,-1,1.0,0.0,0.0,0.823,0.395,53,10.51,25.81,1,,,,,,,J1243-6423,28.092108532770144
58,15.0,10,26,0,6,77,4,471,1030,14.2387,60424.608038631,296.241,193.36867,-64.38257,990.7890243530273,59,-1,1.0,0.0,0.0,0.867,0.315,46,10.22,25.89,1,,,,,,,J1243-6423,26.95903646358354
59,12.1,10,26,1,147,77,4,378,1171,16.1879,60424.608061191,296.241,193.36867,-64.38257,1131.7890243530273,60,-1,1.0,0.0,0.0,0.799,0.384,29,10.07,25.83,1,,,,,,,J1243-6423,26.95903646358354
60,11.2,10,25,0,231,77,4,351,1255,17.3491,60424.608074631,296.241,193.36887,-64.38684,1215.7890243530273,61,-1,1.0,0.0,0.0,0.728,0.501,29,10.38,25.41,1,,,,,,,J1243-6423,12.069189609371922
61,10.4,10,26,1,91,77,4,325,1115,15.4138,60424.608052231,296.241,193.36867,-64.38257,1075.7890243530273,62,-1,1.0,0.0,0.0,0.608,0.0,18,10.39,26.0,1,,,,,,,J1243-6423,26.95903646358354
62,7.8,11,25,1,119,77,4,244,1143,15.8008,60424.608056711,296.241,193.3589,-64.38695,1103.7890243530273,63,-1,1.0,0.0,0.0,0.492,0.0,12,10.67,25.0,1,,,,,,,J1243-6423,15.208514231835801
63,10.3,10,25,0,203,77,4,322,1227,16.962,60424.608070151,296.241,193.36887,-64.38684,1187.7890243530273,64,-1,1.0,0.0,0.0,0.883,0.493,17,10.82,25.65,1,,,,,,,J1243-6423,12.069189609371922
65,6.7,136,163,2,219,244,4,209,1243,17.1832,60424.608072711,938.738,192.11742,-63.80135,1118.7470092773438,66,-1,1.0,0.0,0.0,0.0,0.0,6,136.0,163.0,1,,,,,,,,
70,17.4,10,25,0,87,77,5,545,1367,18.8974,60424.608092551,296.241,193.36887,-64.38684,1327.7890243530273,71,-1,1.0,0.0,0.0,0.827,0.435,112,10.54,25.75,1,,,,,,,J1243-6423,12.069189609371922
71,13.9,10,25,0,0,77,6,435,1536,21.2337,60424.608119591,296.241,193.36887,-64.38684,1496.7890243530273,73,-1,1.0,0.0,0.0,0.792,0.454,50,10.16,25.72,1,,,,,,,J1243-6423,12.069189609371922
